ID,title,score,director,cast,country,added,release,rating,duration,description,platform,Action & Adventure,Adult Animation,Animals & Nature,Animation,Anime,Anthology,Arthouse,Arts,Biographical,Black Stories,Buddy,Cartoons,Children & Family Movies,Classic Movies,Comedies,Coming of Age,Crime,Cult Movies,Dance,Disaster,Documentaries,Drama,Entertainment,Faith & Spirituality,Family,Fantasy,History,Horror & Suspense,Independent Movies,International,Kids,LGBTQ,Lifestyle & Culture,Medical,Military and War,Music,Mystery,News,Parody,Reality,Romance,Romantic Comedies,Sci-Fi & Fantasy,Science & Technology,Special Interest,Sports,Spy/Espionage,Stand Up,Superhero,Survival,Teen,Thriller,Variety,Western
4301,Mortal,64,André Øvredal,"Nat Wolff, Iben Akerlie, Per Frisch, Priyanka Bose, Per Egil Aske",,,2020,R,105 min,"In this spellbinding thriller, a psychologist puts her life in danger when she finds herself drawn to a mysterious murder suspect who claims to possess godlike powers.",Amazon Prime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4302,Spread,64,David Mackenzie,"Ashton Kutcher, Anne Heche, Margarita Levieva",,,2009,R,97 min,High-end lothario Nikki (Ashton Kutcher) sleeps his way into a life of privilege all while crashing at the Hollywood Hills home of a middle-aged female attorney (Anne Heche).,Amazon Prime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4303,The Nutty Professor,64,Tom Shadyac,"Eddie Murphy, Jada Pinkett Smith, James Coburn, Larry Miller, Dave Chappelle, John Ales, Patricia Wilson, Jamal Mixon",United States,2021-09-01,1996,PG-13,95 min,"After being made fun of for his weight, a kind and brainy professor takes a dose of a revolutionary formula that changes more than just his appearance.",Netflix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4304,Kesari,64,Anurag Singh,"Akshay Kumar, Parineeti Chopra, Suvinder Vicky",India,,2019,16+,153 min,"Based on an incredible true story of the Battle of Saragarhi in which an army of 21 Sikhs fought against 10,000 Afghans in 1897.",Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4305,The Secret of Roan Inish,63,John Sayles,"Jeni Courtney, Eileen Colgan, Mick Lally, Susan Lynch, John Lynch, Frankie McCafferty","United States, Ireland",,1995,PG,102 min,Young Fiona lives with her grandparents in a small fishing village where she takes an active role to unravel the mysterious secrets.,Amazon Prime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4306,One Step Behind the Seraphim,63,Daniel Sandu,"Stefan Iancu, Vlad Ivanov, Toto Dumitrescu, Cristian Bota, Iulia Alexandra Dinu",,,2020,18+,147 min,"A group of freshmen in an orthodox college are introduced in a world of cons, pleasure and money, but they soon discover that's not the way one's life should be lead.",Amazon Prime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4307,Ladies vs Ricky Bahl,63,Maneesh Sharma,"Ranveer Singh, Anushka Sharma, Parineeti Chopra, Aditi Sharma",India,,2011,13+,140 min,"Three very different girls (Parineeti Chopra, Dipannita Sharma & Aditi Sharma) each get duped for money by three men. It’s actually just one suave and charming con-man – Ricky Bahl (Ranveer Singh). An encounter brings these three women together who vow to take down Ricky Bahl. Enter Ishika Desai (Anushka Sharma), a young and ambitious girl with street-smart ways. It's the Ladies vs Ricky Bahl.",Amazon Prime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4308,100 Girls,63,Michael Davis,"Jonathan Tucker, Emmanuelle Chriqui, James DeBello, Katherine Heigl, Larisa Oleynik, Jaime Pressly, Marissa Ribisi",,,2001,R,95 min,"When a blackout knocks out an elevator in a college girl's dorm, Matthew and a mystery girl connect carnally and emotionally but he's left in the dark as to her true identity. He's got 100 suspects, and a slew of hilarious schemes to worm his way into the hearts and panty drawers of each and every one.",Amazon Prime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4309,Karwaan,63,Akarsh Khurana,"Irrfan Khan, Mithila Palkar, Dulquer Salmaan, Kriti Kharbanda",India,,2018,13+,114 min,Two friends and a chirpy teenager take a road trip from Bangalore to Kochi.,Amazon Prime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4310,Blind Fury,63,Phillip Noyce,"Rutger Hauer, Terry O'Quinn, Meg Foster, Brandon Call, Noble Willingham, Lisa Blount, Nick Cassavetes, Rick Overton, Randall 'Tex' Cobb",,,1990,R,86 min,"Nick Parker (Rutger Hauer) is a blind Vietnam vet who was trained by local tribes to enhance his remaining senses and now expertly wields a sword. On his return to the US, he goes to visit an old Army buddy, Frank Devereaux (Terrance O'Quinn), but discovers that he and his family are in danger from a crooked casino boss. Nick must save his friend's son, and evade the henchman in pursuit of them.",Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
