ID,title,score,director,release,genre,subgenre,platform
3420,Unacknowledged,66,Michael Mazzola,2017,,,Netflix
3421,Beirut,66,,2018,,,Hulu
3422,Wild Rose,66,,2018,,,Hulu
3423,Pan,66,,2015,,,Hulu
3424,McQueen,66,,2018,,,Hulu
3425,The Man Who Killed Don Quixote,66,,2018,,,Hulu
3426,The Sitter,66,David Gordon Green,2011,,,Amazon Prime
3427,Children of the Corn,66,,1984,,,Hulu
3428,Children of the Corn,66,Fritz Kiersch,1984,,,Amazon Prime
3429,Borgman,66,,2013,,,Hulu
3430,Don't Think Twice,66,Mike Birbiglia,2016,,,Netflix
3431,Second Act,66,,2018,,,Hulu
3432,How to Train Your Dragon: Homecoming,65,,2019,,,Hulu
3433,The Guilt Trip,65,,2012,,,Hulu
3434,The Colony,65,,2013,,,Hulu
3435,The World to Come,65,,2020,,,Hulu
3436,"Hello, My Name Is Doris",65,,2015,,,Hulu
3437,Ben Is Back,65,,2018,,,Hulu
3438,2 Days in Paris,65,,2007,,,Hulu
3439,Jawline,65,,2019,,,Hulu
3440,Rare Exports: A Christmas Tale,65,,2010,,,Hulu
3441,Gretel & Hansel,65,,2020,,,Hulu
3442,Mr. Jones,65,,2020,,,Hulu
3443,The Limehouse Golem,65,,2017,,,Hulu
3444,Open Water,65,,2004,,,Hulu
3445,Monster Trucks,65,,2017,,,Hulu
3446,Enforcement,65,,2021,,,Hulu
3447,The Escort,65,,2016,,,Hulu
3448,Silk Road,65,,2021,,,Hulu
3449,The Quake,65,,2018,,,Hulu
3450,Shadow in the Cloud,65,,2020,,,Hulu
3451,The Man Who Invented Christmas,65,,2017,,,Hulu
3452,Monos,65,,2019,,,Hulu
3453,Hearts Beat Loud,65,,2018,,,Hulu
3454,We Are Freestyle Love Supreme,64,,2020,,,Hulu
3455,Blair Witch,64,,2016,,,Hulu
3456,The Rhythm Section,64,,2020,,,Hulu
3457,A Field in England,64,,2013,,,Hulu
3458,A Beautiful Planet,64,,2016,,,Hulu
3459,The Indian in the Cupboard,64,Frank Oz,1995,,,Netflix
3460,The Indian in the Cupboard,64,,1995,,,Hulu
3461,Amazing Grace,64,,2018,,,Hulu
3462,Plus One,64,,2019,,,Hulu
3463,Luce,64,,2019,,,Hulu
3464,I Still Believe,64,,2020,,,Hulu
3465,Last Chance Harvey,64,,2008,,,Hulu
3466,The Tuxedo,64,Kevin Donovan,2002,,,Netflix
3467,Fear of Rain,64,,2021,,,Hulu
3468,Southbound,64,,2015,,,Hulu
3469,Lo and Behold: Reveries of the Connected World,64,Werner Herzog,2016,,,Netflix
3470,Lo and Behold: Reveries of the Connected World,64,,2016,,,Hulu
3471,The Queen of Versailles,64,,2012,,,Hulu
3472,Intermission,64,,2004,,,Hulu
3473,Lords of Chaos,64,,2018,,,Hulu
3474,Playing It Cool,64,,2015,,,Hulu
3475,Sweet Virginia,64,Jamie M. Dagg,2017,,,Netflix
3476,Sweet Virginia,64,,2017,,,Hulu
3477,Shirley,64,,2020,,,Hulu
3478,The Little Hours,64,Jeff Baena,2017,,,Netflix
3479,The Little Hours,64,,2017,,,Hulu
3480,Assassination Nation,64,,2018,,,Hulu
3481,They Came Together,64,,2014,,,Hulu
3482,Totally Under Control,64,,2020,,,Hulu
